#	Name	Address	Phone	Rating	Business Type
1	May's Alterations & Tailoring	4855 W Desert Inn Rd #105, Las Vegas, NV 89102	+1 702-426-3692	4.6	Tailor/Alterations
2	Sing Sing Sign	4300 Spring Mountain Rd #109, Las Vegas, NV 89102	+1 702-457-7777	4.6	Sign Shop
3	La Flor de Michoacan Ice Cream Shop	3021 E Charleston Blvd Ste b, Las Vegas, NV 89104	+1 702-366-1447	4.4	Ice Cream Shop
4	Swirl Twirl Soft Serve & Taiyaki	450 Fremont St Ste 101, Las Vegas, NV 89101	+1 702-857-1796	4.8	Ice Cream Shop
5	Las Vegas Tortilleria Factory Inc	6658 Boulder Hwy Unit 4 & 5, Las Vegas, NV 89122	+1 702-845-0292	4.2	Tortilleria
6	Tortilleria San Diego	235 N Eastern Ave Ste 117, Las Vegas, NV 89101	+1 702-388-2838	4	Tortilleria
7	Farmers Market Las Vegas - California Produce	2930 Las Vegas Blvd N Space#5008, North Las Vegas, NV 89030	+1 702-430-6592	4.4	Farmers Market
8	Charleston Indoor Swap Meet	4530 E Charleston Blvd, Las Vegas, NV 89104	+1 702-459-0001	4	Swap Meet
9	Boulder Highway Swap Meet	4700 Boulder Hwy, Las Vegas, NV 89121	+1 702-898-3002	4	Swap Meet
10	North Star Barber Shop	5725 Losee Rd #110, North Las Vegas, NV 89081	+1 702-888-1829	4.4	Barber Shop
11	KingLady Nails & Spa	6241 N Decatur Blvd #130, Las Vegas, NV 89130	+1 702-750-9050	4.6	Nail Salon
12	Pretty Eyebrow Threading	2650 S Maryland Pkwy Ste A3B, Las Vegas, NV 89109	+1 725-699-3664	4.7	Eyebrow Threading
13	Mike's Shoe Repair	5300 W Spring Mountain Rd #108, Las Vegas, NV 89146	+1 702-362-2724	4.6	Shoe Repair
14	The Eagle Shoe Repair	4450 N Tenaya Wy #110, Las Vegas, NV 89129	+1 702-701-9963	4.4	Shoe Repair
15	D's Smoke Shop and Gift	1999 W Sunset Rd, Henderson, NV 89014	+1 702-547-1007	4.5	Smoke Shop
16	THE DEN SMOKE SHOP (Marks St)	530 Marks St Suite#120, Henderson, NV 89014	+1 702-331-5656	4.9	Smoke Shop
17	THE DEN SMOKE SHOP (St Rose Pkwy)	3546 St Rose Pkwy Suite# 103, Henderson, NV 89052	+1 702-331-3217	4.9	Smoke Shop
18	Extra Multiservices Ltd	1229 S Eastern Ave, Las Vegas, NV 89104	+1 702-907-6000	5	Multiservices
19	Centurion Multi Services LLC	2829 Camelback Ln, Henderson, NV 89074	+1 702-501-8047	5	Multiservices
20	US DMV MULTISERVICES	320 E Basic Rd, Henderson, NV 89015	+1 702-720-7428	N/A	Multiservices
21	TORO TAXES & MULTI-SERVICES	3827 E Sunset Rd Ste G, Las Vegas, NV 89120	+1 702-703-3103	5	Multiservices/Tax
22	ABC Discount Upholstery	1700 E Fremont St, Las Vegas, NV 89101	+1 702-648-7283	4.6	Upholstery
23	Muniz Upholstery LLC	3401 W Sirius Ave 10 & #44, Las Vegas, NV 89102	+1 702-439-5472	4.8	Upholstery
24	Oldtownliquor	1306 W Craig Rd Ste F, North Las Vegas, NV 89032	+1 702-760-7396	4.6	Liquor Store
25	Amigo Liquor Store	2848 E Lake Mead Blvd, North Las Vegas, NV 89030	+1 702-399-7591	4.1	Liquor Store
26	XO Liquors MLK	1374 W Cheyenne Ave Ste 107, North Las Vegas, NV 89032	+1 725-204-5799	4.2	Liquor Store
27	Premier Tax & Insurance Multi Services	845 N Eastern Ave, Las Vegas, NV 89101	+1 702-834-4155	4.9	Tax Preparation/Multiservices
28	Ace Tax	3297 Las Vegas Blvd N Ste 66, Las Vegas, NV 89115	+1 702-823-0924	5	Tax Preparation
29	SUMMERLIN SMOKE & GIFT SHOP LLC	2263 N Rampart Blvd, Las Vegas, NV 89128	+1 702-550-4800	4.5	Smoke Shop
30	SMOKE VAPOR & CIGAR	9416 Del Webb Blvd, Las Vegas, NV 89134	+1 702-680-8813	4.8	Smoke/Vape Shop
